"journal","all","db","program","other","n"
"Dtsch Arztebl Int",3,1,0,2,NA
"Exp Parasitol",1,1,0,0,NA
"Tunis Med",1,1,0,0,NA
"Chromosoma",1,1,0,0,NA
"Amyotroph Lateral Scler",1,1,0,0,NA
"Bioprocess Biosyst Eng",2,1,1,0,NA
"MBio",5,2,0,3,NA
"Australas Med J",1,1,0,0,NA
"Dermatitis",1,1,0,0,NA
"Am J Health Syst Pharm",1,1,0,0,NA
"J Psychopharmacol",1,1,0,0,NA
"Diabetes Care",1,1,0,0,NA
"Front Integr Neurosci",1,1,0,0,NA
"Bioimpacts",1,1,0,0,NA
"Int J Colorectal Dis",1,1,0,0,NA
"J Appl Res Intellect Disabil",2,1,0,1,NA
"J Nucl Med Technol",1,1,0,0,NA
"Cancer Immun",1,1,0,0,NA
"Riv Psichiatr",3,2,0,1,NA
"Horm Res Paediatr",1,1,0,0,NA
"J Med Toxicol",2,2,0,0,NA
"Vet Rec",1,1,0,0,NA
"Pediatr Pulmonol",1,1,0,0,NA
"J Am Acad Orthop Surg",1,1,0,0,NA
"Curr Biol",2,1,1,0,NA
"J Obstet Gynaecol Can",1,1,0,0,NA
"Clin J Oncol Nurs",2,1,0,1,NA
"J Public Health Res",1,1,0,0,NA
"J Nutr Sci",1,1,0,0,NA
"Turk J Gastroenterol",1,1,0,0,NA
"Int J Pharm Compd",1,1,0,0,NA
"J Neurophysiol",1,1,0,0,NA
"Paediatr Drugs",1,1,0,0,NA
