"word","freq","length"
"the",6067,3
"and",5234,3
"for",1800,3
"data",1386,4
"with",1141,4
"from",812,4
"are",806,3
"that",760,4
"database",666,8
"this",589,4
"available",586,9
"https",549,5
"were",473,4
"analysis",468,8
"was",442,3
"can",408,3
"based",406,5
"have",384,4
"information",375,11
"gene",364,4
"protein",360,7
"results",348,7
"org",329,3
"using",316,5
"http",309,4
"which",307,5
"has",302,3
"resource",301,8
"study",295,5
"these",287,5
"web",282,3
"their",276,5
"cancer",245,6
"genes",241,5
"been",240,4
"used",235,4
"our",234,3
"tools",232,5
"also",229,4
"all",227,3
"genome",227,6
"research",226,8
"cell",222,4
"expression",221,10
"new",215,3
"www",215,3
"studies",213,7
"human",212,5
"between",207,7
"patients",195,8
"disease",194,7
"methods",194,7
"different",192,9
"tool",189,4
"developed",187,9
"provides",187,8
"use",186,3
"online",185,6
"more",182,4
"model",178,5
"present",175,7
"supplementary",173,13
"high",172,4
"including",171,9
"not",171,3
"specific",171,8
"sequence",169,8
"associated",168,10
"genetic",168,7
"drug",167,4
"clinical",166,8
"functional",163,10
"sequences",162,9
"users",162,5
"health",159,6
"such",159,4
"other",158,5
"related",158,7
"rna",157,3
"will",157,4
"user",155,4
"well",154,4
"freely",152,6
"however",147,7
"comprehensive",145,13
"provide",145,7
"set",145,3
"into",143,4
"here",142,4
"biological",141,10
"its",140,3
"bioinformatics",138,14
"proteins",137,8
"multiple",135,8
"potential",134,9
"through",134,7
"covid",133,5
"species",132,7
"network",131,7
"sequencing",130,10
"databases",127,9
"variants",127,8
"across",124,6
"diseases",124,8
"structure",124,9
"analyses",123,8
"availability",122,12
"single",121,6
"identified",120,10
"most",120,4
"both",119,4
"software",119,8
"than",119,4
"development",118,11
"search",118,6
"first",116,5
"resources",116,9
"interface",115,9
"server",114,6
"background",113,10
"identify",112,8
"large",112,5
"quality",111,7
"molecular",110,9
"number",110,6
"two",110,3
"datasets",109,8
"genomic",109,7
"each",108,4
"interactions",108,12
"novel",107,5
"over",107,4
"models",106,6
"access",104,6
"implementation",104,14
"one",104,3
"there",104,5
"com",103,3
"experimental",103,12
"level",103,5
"prediction",103,10
"time",101,4
