PMID,url,journal,pub_year,ia_last_seen
23292636,http://www.cbligand.org/TargetHunter,AAPS J,2013,2015
23868748,http://psn.sourceforge.net/,AAPS J,2013,2016
25549614,http://www.aaps.org/BMV13,AAPS J,2015,2015
22092900,http://vimeo.com/24148123,Acad Emerg Med,2011,2014
25517703,http://med.stanford.edu/septris/,Acad Med,2015,2015
21889896,http://www.seattlechildrens.org/radiologyeducation/ILD,Acad Radiol,2011,2014
23452473,http://www.ExamWeb.com,Acad Radiol,2013,2015
24594419,http://www.liradsapp.com/,Acad Radiol,2014,2015
25843902,http://aur.org/ADVICER/,Acad Radiol,2015,2016
22676423,http://www.nap.edu/catalog.php?record_id=11970,Acc Chem Res,2013,2016
25333826,http://spin.ccic.ohio-state.edu/index.php/hsqc/index,ACS Chem Biol,2015,2016
22778871,http://newsroom.lilly.com/releasedetail.cfm?releaseid=499794,ACS Chem Neurosci,2011,2016
22816019,http://www.merck.com/research/pipeline/home.html,ACS Chem Neurosci,2011,2016
21644557,http://www.aflowlib.org,ACS Comb Sci,2011,2016
21604810,http://www.eng.uc.edu/nanomedicine/RNA2010/,ACS Nano,2011,2014
22558529,http://keatingweb.mit.edu/SYNZIP/,ACS Synth Biol,2012,2015
23651115,http://map.jacobs-university.de/map3d.html,ACS Synth Biol,2012,2014
24364365,http://promotercad.org/mammal/,ACS Synth Biol,2014,#N/A
24364864,http://andersonlab.qb3.berkeley.edu/Software/EDSSI/,ACS Synth Biol,2014,#N/A
24932669,http://selene.princeton.edu/FFNCAA,ACS Synth Biol,2014,2016
25524100,http://www.owlcad.org,ACS Synth Biol,2014,#N/A
24847672,http://www.cbs.dtu.dk/services/AMUSER/,ACS Synth Biol,2015,2015
25152014,http://ssapredict.ico2s.org,ACS Synth Biol,2015,#N/A
24350306,http://pdbinout.ibch.poznan.pl,Acta Biochim Pol,2013,2014
23475502,http://lin.uestc.edu.cn/server/TetraMito,Acta Biotheor,2013,2014
23982307,http://apslap.bicpu.edu.in,Acta Biotheor,2013,2016
23743686,http://qualis.capes.gov.br/webqualis/publico/pesquisaPublicaClassificacao.seam?conversationPropagation=begin,Acta Cir Bras,2013,2016
22338662,http://sastbx.als.lbl.gov,Acta Crystallogr A,2012,2014
23778095,http://stokes.byu.edu/iso/irtables.php,Acta Crystallogr A,2013,2015
24419168,http://sites.psu.edu/gopalan/research/symmetry/,Acta Crystallogr A Found Adv,2014,2014
21460451,http://www.bfsc.leidenuniv.nl/software/crank/,Acta Crystallogr D Biol Crystallogr,2011,2013
21460451,http://www.ccp4.ac.uk/,Acta Crystallogr D Biol Crystallogr,2011,2016
21795811,http://pgd.science.oregonstate.edu/cdl_shelxl/,Acta Crystallogr D Biol Crystallogr,2011,2015
23633602,http://bacpedia.harima.riken.jp,Acta Crystallogr D Biol Crystallogr,2013,2013
23633602,http://database.riken.jp/db/bacpedia,Acta Crystallogr D Biol Crystallogr,2013,2014
23633602,http://database.riken.jp/db/hatodas,Acta Crystallogr D Biol Crystallogr,2013,2014
24189227,http://www.igs.cnrs-mrs.fr/Caspr2/index.cgi,Acta Crystallogr D Biol Crystallogr,2013,2012
24311580,http://www.ebi.ac.uk/thornton-srv/databases/LigSearch,Acta Crystallogr D Biol Crystallogr,2013,2013
24914969,http://www.ruppweb.org/mattprob/,Acta Crystallogr D Biol Crystallogr,2014,2015
25084327,http://nano-d.inrialpes.fr/software/HermiteFit,Acta Crystallogr D Biol Crystallogr,2014,2015
25478846,http://achesym.ibch.poznan.pl,Acta Crystallogr D Biol Crystallogr,2014,2015
25760613,http://www.nuproplot.com,Acta Crystallogr D Biol Crystallogr,2015,2016
25760616,http://iimcb.genesilico.pl/brickworx,Acta Crystallogr D Biol Crystallogr,2015,2016
25945573,http://nucleix.mbu.iisc.ernet.in/assp/index.php,Acta Crystallogr D Biol Crystallogr,2015,#N/A
26057674,http://datasw.sourceforge.net/,Acta Crystallogr D Biol Crystallogr,2015,#N/A
21821899,http://www.who.int/tb,Acta Crystallogr Sect F Struct Biol Cryst Commun,2011,2016
23385767,http://www.ruppweb.org/twilight/,Acta Crystallogr Sect F Struct Biol Cryst Commun,2013,2014
25402774,http://pathorama.wordpress.com/extragenital-cytology-2013/,Acta Cytol,2014,#N/A
23959063,http://www.lgcgenomics.com/,Acta Diabetol,2013,2016
25132718,http://ease.org.uk/publications/author-guidelines,Acta Inform Med,2014,2016
21125452,http://www.pub.med.com,Acta Neurochir Suppl,2011,2012
25366634,http://www.vasospasm2013.com,Acta Neurochir Suppl,2015,2016
24450806,http://www.fertstert.org/article/S0015-0282,Acta Obstet Gynecol Scand,2014,#N/A
21745130,http://www.informahealthcare.com/doi/abs/10.3109/0284186X.2011.584554,Acta Oncol,2011,#N/A
22150118,http://www.med.mun.ca/angio,Acta Oncol,2012,2014
20874711,http://www.nuffieldbioethics.org,Acta Paediatr,2011,2016
21841810,http://2d.bjmu.edu.cn,Acta Pharmacol Sin,2011,2012
24487966,http://www.d3pharma.com/d3tpredictor,Acta Pharmacol Sin,2014,2013
24584870,http://www.uwm.edu.pl/biochemia,Acta Sci Pol Technol Aliment,2013,2016
24681218,http://www.plasmodb.org.PlasmoDB,Acta Trop,2014,#N/A
22795643,http://www.lifeguideonline.org/player/play/stopadvisordemonstration,Addict Behav,2012,2014
21054686,http://phenogen.ucdenver.edu,Addict Biol,2011,2012
21470324,http://www.ria.buffalo.edu,Addiction,2012,2016
23487273,http://www.emcdda.europa.eu/bestpractice,Adicciones,2013,#N/A
21918633,http://rna.eit.hirosaki-u.ac.jp/modena/,Adv Appl Bioinform Chem,2011,2016
22888263,http://immuno.bio.uniroma2.it/bpred,Adv Appl Bioinform Chem,2012,2013
