off_class,confidence,PMID,Journal
other,1,11760706,AAOHN J
a_program,1,16438095,AAOHN J
other,1,17285738,AAPS J
other,1,25549614,AAPS J
a_program,1,23292636,AAPS J
a_program,0.7087,23868748,AAPS J
other,0.6568,12066238,Abdom Imaging
other,1,9408433,Acad Emerg Med
other,1,17312334,Acad Emerg Med
other,1,22092900,Acad Emerg Med
other,0.6581,14644785,Acad Emerg Med
a_program,1,16569747,Acad Emerg Med
a_database,1,15741591,Acad Emerg Med
other,0.4051,25517703,Acad Med
a_program,1,12228102,Acad Med
other,1,11345275,Acad Radiol
other,0.7129,18389935,Acad Radiol
other,1,17707320,Acad Radiol
other,0.6667,21889896,Acad Radiol
a_program,1,17889341,Acad Radiol
a_program,1,17574132,Acad Radiol
a_program,1,15988822,Acad Radiol
a_program,0.6226,11450970,Acad Radiol
a_program,0.6639,23452473,Acad Radiol
a_program,1,16554226,Acad Radiol
a_program,0.6501,24594419,Acad Radiol
a_program,1,25843902,Acad Radiol
a_database,0.6555,18035276,Acad Radiol
a_program,1,19445451,Acc Chem Res
a_program,0.4032,22676423,Acc Chem Res
other,1,14642872,Accid Anal Prev
other,0.6556,19298091,ACS Chem Biol
a_program,0.6721,25333826,ACS Chem Biol
other,1,22776916,ACS Chem Neurosci
other,1,22778871,ACS Chem Neurosci
other,1,22816019,ACS Chem Neurosci
a_database,0.6612,21644557,ACS Comb Sci
a_program,1,24936230,ACS Med Chem Lett
other,1,21604810,ACS Nano
other,1,19206275,ACS Nano
a_program,1,19206339,ACS Nano
a_program,1,24364864,ACS Synth Biol
a_program,0.6818,22558529,ACS Synth Biol
a_program,1,24932669,ACS Synth Biol
a_program,1,24847672,ACS Synth Biol
a_program,1,25152014,ACS Synth Biol
a_program,1,25524100,ACS Synth Biol
a_program,1,23651115,ACS Synth Biol
a_database,0.7319,24364365,ACS Synth Biol
other,0.7213,19839941,Acta Anaesthesiol Scand
other,0.7644,15806741,Acta Astronaut
other,1,15880263,Acta Biochim Biophys Sin (Shanghai)
other,1,16331322,Acta Biochim Biophys Sin (Shanghai)
a_program,1,14732869,Acta Biochim Biophys Sin (Shanghai)
a_program,1,16270155,Acta Biochim Biophys Sin (Shanghai)
a_program,0.6485,19352541,Acta Biochim Biophys Sin (Shanghai)
a_database,1,20716610,Acta Biochim Biophys Sin (Shanghai)
a_database,0.6895,18180854,Acta Biochim Biophys Sin (Shanghai)
a_program,1,18506221,Acta Biochim Pol
a_program,1,15094837,Acta Biochim Pol
a_program,0.7345,19436837,Acta Biochim Pol
a_program,1,24350306,Acta Biochim Pol
other,1,17172184,Acta Biomed
other,0.6721,23982307,Acta Biotheor
a_program,1,23475502,Acta Biotheor
other,1,18274178,Acta Chir Belg
a_database,0.704,15916173,Acta Cient Venez
other,0.7415,23743686,Acta Cir Bras
other,0.5789,23778095,Acta Crystallogr A
other,0.6909,24419168,Acta Crystallogr A
a_program,0.7241,22338662,Acta Crystallogr A
a_program,1,18560163,Acta Crystallogr A
a_program,1,12456970,Acta Crystallogr B
other,0.6612,11567150,Acta Crystallogr D
other,1,10089363,Acta Crystallogr D
other,1,24189227,Acta Crystallogr D
other,1,21795811,Acta Crystallogr D
other,0.6964,19465769,Acta Crystallogr D
other,1,18391402,Acta Crystallogr D
other,0.6653,12351848,Acta Crystallogr D
a_program,0.6585,20516617,Acta Crystallogr D
a_program,0.6644,12037329,Acta Crystallogr D
a_program,1,12136164,Acta Crystallogr D
a_program,1,25945573,Acta Crystallogr D
a_program,1,19390156,Acta Crystallogr D
a_program,0.6754,15572777,Acta Crystallogr D
a_program,0.725,16929111,Acta Crystallogr D
a_program,1,11468417,Acta Crystallogr D
a_program,1,19564685,Acta Crystallogr D
a_program,0.6757,17642521,Acta Crystallogr D
a_program,1,21460451,Acta Crystallogr D
a_program,0.6612,24914969,Acta Crystallogr D
a_program,1,24311580,Acta Crystallogr D
a_program,1,25478846,Acta Crystallogr D
a_program,1,19307724,Acta Crystallogr D
a_program,1,25084327,Acta Crystallogr D
a_program,1,26057674,Acta Crystallogr D
a_program,1,25760616,Acta Crystallogr D
a_program,1,25760613,Acta Crystallogr D
a_database,1,17057333,Acta Crystallogr D
a_database,1,19153462,Acta Crystallogr D
a_database,0.5504,19020347,Acta Crystallogr D
a_database,0.725,10089492,Acta Crystallogr D
