PMID,url,journal,pub_year,ia_last_seen
7498156,http://www.ludwig.edu.au,Electrophoresis,1995,2016
7498160,http://siva.cshl.org,Electrophoresis,1995,2008
7578577,http://WWW.GENEBEE.MSU.SU,Biokhimiia,1995,2016
7590261,http://www.blocks.fhcrc.org4,Gene,1995,#N/A
7663945,http://bio5.chemie.uni-freiburg.de/akmovie.html,Structure,1995,#N/A
7937068,http://www.icgeb.trieste.it,Nucleic Acids Res,1994,2016
8043953,http://mickey.utmem.edu/front.html,Mamm Genome,1994,2007
8520280,http://www.bmj.com/bmj/,BMJ,1995,2013
8563420,http://www.welch.jhu.edu/Education/tutorials/practicum.html,Proc Annu Symp Comput Appl Med Care,1995,#N/A
8579331,http://www.gene.ucl.ac.uk/chr9home.html,Ann Hum Genet,1995,2006
8594557,http://sunsite.unc.edu/dnam/mainpage.html,Nucleic Acids Res,1996,2011
8594560,http://www.mcgill.ca/pahdb,Nucleic Acids Res,1996,2006
8594562,http://www.montpellier.inra.fr:70/cholinesterase,Nucleic Acids Res,1996,1999
8594566,http://www.ebi.ac.uk/pub/databases/androgen,Nucleic Acids Res,1996,#N/A
8594567,http://biochem1.basic-sci.georgetown.edu/grr/grr.html,Nucleic Acids Res,1996,2005
8594576,http://www.biochem.ucl.ac.uk/bsm/dbbrowser,Nucleic Acids Res,1996,#N/A
8594578,http://blocks.fhcrc.org/help,Nucleic Acids Res,1996,#N/A
8594585,http://www.access.digex.net/regulate,Nucleic Acids Res,1996,2013
8594586,http://expasy.hcuge.ch/,Nucleic Acids Res,1996,2016
8594587,http://www.neb.com/rebase,Nucleic Acids Res,1996,2016
8594591,http://www.ncbi.nlm.nih.gov/Baxevani/HISTO,Nucleic Acids Res,1996,#N/A
8594594,http://susi.bio.unigiessen.de/usr/local/www/html/ecdc.html,Nucleic Acids Res,1996,#N/A
8594596,http://mbl.edu/html/ecoli.html,Nucleic Acids Res,1996,2012
8594605,http://mbcr.bcm.tmc.edu/smallRNA/smallrna,Nucleic Acids Res,1996,#N/A
8594608,http://rdpwww.life.uiuc.edu/,Nucleic Acids Res,1996,2001
8633428,http://glimpse.cs.arizona.edu/radiology.html,AJR Am J Roentgenol,1996,2011
8652124,http://www.cems.umn.edu/,Biotechnol Prog,1996,2016
8654966,http://www.ai.sri.com/ecocyc/browser.html,Gene,1996,2011
8657556,http://www.callistro.si.usherb.ca/jpperra,Nucleic Acids Res,1996,#N/A
8660575,http://uwmml.pharmacy.wisc.edu,Anal Biochem,1996,2004
8683587,http://dot.imgen.bcm.tmc.edu:9331/seq-search/Options/fastapat.html,J Mol Biol,1996,2002
8693130,http://www.rad.unipi.it:7080/IRMosaicHome.html,Radiol Med,1996,#N/A
8718907,http://www.med.jhu.edu/pathology/iad.html,Arch Pathol Lab Med,1996,2015
8743995,http://gc.bcm.tmc.edu:8088/search-launcher.html,Genome Res,1996,1999
8806092,http://www.atcc.org/,J Cell Biochem Suppl,1996,2016
8808585,http://www.ibcp.fr/predict.html,Comput Appl Biosci,1995,2002
8811101,http://www.cbs.dtu.dk/NetPlantGene.html,Nucleic Acids Res,1996,2000
8812427,http://cedar.genetics.soton.ac.uk/public_html,Genomics,1996,2016
8837029,http://www.mrc-lmb.cam.ac.uk/pubseq/,Mol Biotechnol,1996,2016
8838837,Http://www.hscsyr.edu<|>nutrition/,Nutrition,1996,#N/A
8840999,http://biobase.dk/cgi-bin/celis,Cancer Res,1996,2016
8849440,http://www.ncbi.nlm.nih.gov/SCIENCE96/,Science,1996,2016
8855278,http://Lmb1.bios.uic.edu/NOMAD/NOMAD.html,Proc Natl Acad Sci U S A,1996,1999
8871566,http://blocks.fhcrc.org/blocks-bin/LAMAvsearch,Nucleic Acids Res,1996,#N/A
8872391,http://www.imb-jena.de/IMAGE.html,Comput Appl Biosci,1996,2015
8872392,http://ws4.niai.affrc.go.jp/,Comput Appl Biosci,1996,2007
8872393,http://www.icgeb.trieste.it/p450/,Comput Appl Biosci,1996,2016
8880932,http://www-grap.fagmed.uit.no/GRAP/homepage.html,Proteins,1996,2004
8888137,http://www-lmmb.ncifcrf.gov<|>nicka/sarf2.html,Protein Eng,1996,#N/A
8888667,http://einthoven.uokhsc.edu,Am J Cardiol,1996,1999
8898571,http://netvet.wustl.edu/,Semin Vet Med Surg (Small Anim),1996,2016
8902357,http://www.sdsc.edu/CompSci/Biomed/,Comput Appl Biosci,1996,#N/A
8903226,http://www.genweb.com/dnavax/dnavax.html,Emerg Infect Dis,1996,2001
8910014,http://bellatrix.pcl.ox.ac.uk/egc/,Glycoconj J,1996,1997
8910014,http://bellatrix.pcl.ox.ac.uk/TGN/,Glycoconj J,1996,1997
8913548,http://www.netwellness.org,Bull Med Libr Assoc,1996,2016
8931139,http://www.cbs.dtu.dk/services/NetPicoRNA/,Protein Sci,1996,2015
8938772,http://mcns10.med.nyu.edu/,Neurosurgery,1996,2015
8947698,http://wonder.cdc.gov,Proc AMIA Annu Fall Symp,1996,2016
8947749,http://www.b3e.jussieu.fr,Proc AMIA Annu Fall Symp,1996,2014
8957688,http://godot.urol.uic.edu,J Androl,1996,2016
8966250,http://mbox.unipa.it/radpa/radpa,Radiol Med,1996,#N/A
8994164,http://www.aip.org/epaps/epaps.html,Med Phys,1996,2008
8995828,http://www.envmed.rochester.edu/wwwrap/behavior/jaba/jabahome.htm,J Appl Behav Anal,1996,2004
8995828,http://www.envmed.rochester.edu/wwwrap/behavior/jeab/jeabhome.htm,J Appl Behav Anal,1996,2004
8996789,http://www.gsf.de/biodv/consinspector.html,Comput Appl Biosci,1996,2015
8996789,http://www.gsf.de/biodv/genomeinspector.html,Comput Appl Biosci,1996,2011
8996789,http://www.gsf.de/biodv/matinspector.html,Comput Appl Biosci,1996,2015
8996789,http://www.mips.biochem.mpg.de/mips/yeast/,Comput Appl Biosci,1996,2004
9000177,http://www.usrf.org--was,Urology,1997,#N/A
9005139,http://www.hbuk.co.uk--the,Eur J Surg Oncol,1996,#N/A
9007997,http://www-smi.stanford.edu/projects/helix/LPFC/,Protein Sci,1997,2006
9014239,http://expasy.hcuge.ch/swissmod/SWISS-MODEL.html,Receptors Channels,1996,2016
9016498,http://www.mips.biochem.mpg.de/,Nucleic Acids Res,1997,2004
9016501,http://susi.bio.uni-giessen.de/usr/local/www/html/ecdc.html,Nucleic Acids Res,1997,1999
9016504,http://acnuc.univ-lyon1.fr/nrsub/nrsub.html,Nucleic Acids Res,1997,2000
9016504,http://ddbjs4h.genes.nig.ac.jp/,Nucleic Acids Res,1997,1999
9016505,http://www.proteome.com/YPDhome.html,Nucleic Acids Res,1997,2015
9016506,http://www-biol.univ-mrs.fr/,Nucleic Acids Res,1997,2001
9016516,http://rrna.uia.ac.be/ssu/,Nucleic Acids Res,1997,2005
9016517,http://rrna.uia.ac.be/,Nucleic Acids Res,1997,2005
9016520,http://europium.mrc.rpms.ac.uk,Nucleic Acids Res,1997,1999
