"PMID","journal","off_class","url","pub_year","confidence","ia_last_seen"
7498160,"Electrophoresis","a_database","http://siva.cshl.org",1995,0.6641,"2008"
8043953,"Mamm Genome","a_database","http://mickey.utmem.edu/front.html",1994,0.6854,"2007"
8594562,"Nucleic Acids Res","a_database","http://www.montpellier.inra.fr:70/cholinesterase",1996,0.671,"1999"
8594566,"Nucleic Acids Res","a_database","http://www.ebi.ac.uk/pub/databases/androgen",1996,1,"#N/A"
8594567,"Nucleic Acids Res","a_database","http://biochem1.basic-sci.georgetown.edu/grr/grr.html",1996,0.5734,"2005"
8594576,"Nucleic Acids Res","a_database","http://www.biochem.ucl.ac.uk/bsm/dbbrowser",1996,1,"#N/A"
8594578,"Nucleic Acids Res","a_database","http://blocks.fhcrc.org/help",1996,1,"#N/A"
8594585,"Nucleic Acids Res","a_database","http://www.access.digex.net/regulate",1996,0.6555,"2013"
8594586,"Nucleic Acids Res","a_database","http://expasy.hcuge.ch/",1996,1,"2016"
8594587,"Nucleic Acids Res","a_database","http://www.neb.com/rebase",1996,0.6746,"2016"
8594591,"Nucleic Acids Res","a_database","http://www.ncbi.nlm.nih.gov/Baxevani/HISTO",1996,1,"#N/A"
8594594,"Nucleic Acids Res","a_database","http://susi.bio.unigiessen.de/usr/local/www/html/ecdc.html",1996,0.6952,"#N/A"
8594605,"Nucleic Acids Res","a_database","http://mbcr.bcm.tmc.edu/smallRNA/smallrna",1996,1,"#N/A"
8594608,"Nucleic Acids Res","a_database","http://rdpwww.life.uiuc.edu/",1996,0.5737,"2001"
8683587,"J Mol Biol","a_database","http://dot.imgen.bcm.tmc.edu:9331/seq-search/Options/fastapat.html",1996,1,"2002"
8718907,"Arch Pathol Lab Med","a_database","http://www.med.jhu.edu/pathology/iad.html",1996,0.5547,"2015"
8806092,"J Cell Biochem Suppl","a_database","http://www.atcc.org/",1996,0.7241,"2016"
8840999,"Cancer Res","a_database","http://biobase.dk/cgi-bin/celis",1996,0.6646,"2016"
8872391,"Comput Appl Biosci","a_database","http://www.imb-jena.de/IMAGE.html",1996,0.7287,"2015"
8872392,"Comput Appl Biosci","a_database","http://ws4.niai.affrc.go.jp/",1996,0.7222,"2007"
8880932,"Proteins","a_database","http://www-grap.fagmed.uit.no/GRAP/homepage.html",1996,1,"2004"
8888137,"Protein Eng","a_database","http://www-lmmb.ncifcrf.gov<|>nicka/sarf2.html",1996,1,"#N/A"
8910014,"Glycoconj J","a_database","http://bellatrix.pcl.ox.ac.uk/egc/",1996,1,"1997"
8910014,"Glycoconj J","a_database","http://bellatrix.pcl.ox.ac.uk/TGN/",1996,1,"1997"
8947698,"Proc AMIA Annu Fall Symp","a_database","http://wonder.cdc.gov",1996,1,"2016"
8947749,"Proc AMIA Annu Fall Symp","a_database","http://www.b3e.jussieu.fr",1996,0.6552,"2014"
8966250,"Radiol Med","a_database","http://mbox.unipa.it/radpa/radpa",1996,1,"#N/A"
9007997,"Protein Sci","a_database","http://www-smi.stanford.edu/projects/helix/LPFC/",1997,0.7291,"2006"
9016498,"Nucleic Acids Res","a_database","http://www.mips.biochem.mpg.de/",1997,1,"2004"
9016501,"Nucleic Acids Res","a_database","http://susi.bio.uni-giessen.de/usr/local/www/html/ecdc.html",1997,1,"1999"
