"journal","all","db","program","other"
"Intern Med J",1,0,0,1
"J Paediatr Child Health",3,0,1,2
"J Comput Biol",14,0,12,2
"Biomech Model Mechanobiol",1,0,1,0
"Cell Tissue Bank",2,1,0,1
"Matern Child Nutr",2,0,1,1
"Amino Acids",20,2,13,5
"J Glaucoma",2,1,0,1
"Eur J Orthod",3,0,1,2
"IEEE/ACM Trans Comput Biol Bioinform",31,1,28,2
"Addiction",1,0,0,1
"Neuroinformatics",11,3,6,2
"Spine (Phila Pa 1976)",1,0,0,1
"J Mol Model",6,2,4,0
"Behav Res Methods",30,9,17,4
"J Med Syst",3,0,2,1
"Unfallchirurg",1,0,0,1
"Int J Comput Assist Radiol Surg",3,0,3,0
"Stem Cell Rev",1,0,0,1
"Am J Clin Oncol",1,0,0,1
"Food Chem Toxicol",3,1,1,1
"Dev Psychobiol",1,0,0,1
"Mol Ecol Resour",25,2,20,3
"Clin Microbiol Infect",3,0,1,2
"Mol Plant Pathol",21,2,1,18
"J Exp Psychol Hum Percept Perform",2,0,0,2
"Biotechnol Adv",3,1,0,2
"Comput Methods Biomech Biomed Engin",3,0,2,1
"Hum Brain Mapp",3,0,3,0
"Breast Cancer Res Treat",2,0,2,0
"Environ Sci Technol",3,0,2,1
"Brief Bioinform",18,3,13,2
"Transgenic Res",2,1,0,1
"Eur J Radiol",1,0,1,0
"J Autism Dev Disord",1,0,0,1
"Transfus Med Rev",2,0,0,2
"Br J Anaesth",3,1,0,2
"J Am Med Inform Assoc",22,2,14,6
"Environ Health Perspect",1,0,0,1
"J Prosthodont",1,0,0,1
"Nucleic Acids Res",826,371,406,49
"J Hazard Mater",2,1,0,1
"Protein Pept Lett",16,0,13,3
"Hum Mutat",73,31,37,5
"Clin Orthop Relat Res",2,2,0,0
"Eur Arch Otorhinolaryngol",3,1,1,1
"Methods Mol Biol",61,12,41,8
"Am J Physiol Cell Physiol",5,1,2,2
"Psychol Assess",1,0,1,0
"Am J Infect Control",2,0,0,2
"Heart Rhythm",1,0,0,1
"Hepatology",3,1,0,2
"Clin Dysmorphol",1,0,1,0
"Mol Cell Proteomics",21,5,11,5
